name,IP,EA,Et,gap
7150964/,6.705695611,-2.222387173,1.257437306,1.33327198
4123767/,7.380703688,-2.527990628,1.394435106,1.57555719
1505620/,8.256635125,-1.59612263,1.57334591,1.73338452
2217072/,7.256056907,-1.759441537,1.389997735,1.5549136
7017427/,6.777027249,-1.788911981,1.304345637,1.15621228
2231295/,7.853161363,-1.145998953,1.51550495,1.67219946
8100528/,6.542363804,-1.866445253,1.263375354,1.48338957
4027728/,5.99569411,-1.63822156,1.16297391,1.26915387
2100836/,6.968820066,-1.569941423,1.356602876,1.60025289
4112257/,7.596238571,-1.793774576,1.48097685,1.86168519
4112256/,7.547002046,-1.751255472,1.488141541,1.87195654
7217840/,6.612911642,-1.944462165,1.321462289,1.45668781
7112222/,7.594352865,-2.463089357,1.52038963,1.59291292
7213065/,7.239696415,-2.228366015,1.451295803,1.25016786
4112569/,7.237156588,-2.517045727,1.451130072,1.4650416
1516091/,6.898278552,-2.160792646,1.38457661,1.20913984
1505656/,8.165635465,-1.832521451,1.639611291,1.55623345
4304452/,7.006360953,-1.592575492,1.411074492,1.61835402
2214763/,5.911712938,-1.482110464,1.193083243,1.46352625
7204088/,8.849996948,-2.497962851,1.791408226,1.98457582
1505471/,7.20162336,-1.860037066,1.467544794,1.4866276
2218869/,8.800910113,-2.351579749,1.794913348,1.78512726
5000194/,8.926712165,-0.302761965,1.825693998,2.0959098
4511790/,6.686908059,-1.514965336,1.378234978,1.61930732
1516688/,6.087935259,-1.261354464,1.25658273,1.55010317
4304453/,7.325188043,-1.767081743,1.520687813,1.67257649
1503735/,6.036873784,-1.930113589,1.254992913,1.39773863
2010884/,7.936292891,-1.649429311,1.650708264,1.72368271
4304454/,7.12814214,-1.539935794,1.483581927,1.61705681
1505378/,6.537805646,-1.451028655,1.370767878,1.6386129
7105484/,7.782683109,-2.377120093,1.632584951,1.62989086
4077649/,8.274515383,-2.24833515,1.737928896,1.78456788
4025185/,7.048969821,-1.753771296,1.481183887,1.15203531
2205629/,7.244140847,-1.490068909,1.523385299,1.66312067
7202511/,7.013927682,-1.751579667,1.481856149,1.60022932
7226343/,8.216485074,-1.576054067,1.748630862,1.95823275
4022453/,6.923179799,-2.217833225,1.477145835,1.63196881
7213267/,7.424774918,-1.982956936,1.591401998,1.35325285
1516687/,6.101727166,-1.227604578,1.313931218,1.60070813
4023766/,7.599144776,-1.892978089,1.640319974,1.90898013
1511796/,8.230001716,-1.540432726,1.796085882,1.93772176
1505100/,6.505504538,-1.765870455,1.420087141,1.58850367
2223289/,7.9515181,-1.815073513,1.736613314,1.82110239
1515707/,7.909100039,-1.879015954,1.731566451,2.01415262
7201186/,8.436860654,-1.65920709,1.849433373,2.09864999
2238229/,8.418032149,-2.093681627,1.847278244,1.84220566
7220202/,8.754265854,-1.639986478,1.923968152,2.16191564
4029991/,8.144105647,-1.562169765,1.792870259,1.8237238
4025298/,6.529197406,-1.272858914,1.44115415,1.44948761
2222158/,8.424042316,-0.88182855,1.860094522,2.26832276
7154635/,8.239900711,-2.203570479,1.82300422,1.93528626
7152888/,7.960726095,-1.911072422,1.765224789,1.85951506
1544069/,8.121539452,-1.900647992,1.802703702,1.99338459
4001223/,6.153421833,-1.154824721,1.372158904,1.52596706
2231798/,7.793641614,-1.666966777,1.739236123,1.83834572
2239440/,8.458189617,-1.390295065,1.888383443,2.00055347
7101829/,7.921127551,-1.816172815,1.769473423,2.06271672
4503641/,7.998272898,-2.438443638,1.789497937,1.86025604
1502975/,6.822678751,-2.104495934,1.530263941,1.63787517
2012248/,7.401534599,-2.162883517,1.660703494,1.45989203
2012148/,7.695358595,-1.361345278,1.728336656,1.88009736
7104724/,7.224619246,-1.575494938,1.623538857,1.75571388
4503642/,7.992628642,-2.407358531,1.79870762,1.86937372
